
Tempo total de execução: 0.941915 segundo(s).

Origem: 0 	 Destino: 462 	 Distância: 0
Origem: 0 	 Destino: 463 	 Distância: 0
Origem: 0 	 Destino: 464 	 Distância: 0
Origem: 0 	 Destino: 465 	 Distância: 0
Origem: 0 	 Destino: 466 	 Distância: 0
Origem: 0 	 Destino: 467 	 Distância: 0
Origem: 0 	 Destino: 468 	 Distância: 0
Origem: 0 	 Destino: 469 	 Distância: 0
Origem: 0 	 Destino: 470 	 Distância: 0
Origem: 0 	 Destino: 471 	 Distância: 0
Origem: 0 	 Destino: 472 	 Distância: 0
Origem: 0 	 Destino: 473 	 Distância: 0
Origem: 0 	 Destino: 474 	 Distância: 0
Origem: 0 	 Destino: 475 	 Distância: 0
Origem: 0 	 Destino: 476 	 Distância: 0
Origem: 0 	 Destino: 477 	 Distância: 0
Origem: 0 	 Destino: 478 	 Distância: 0
Origem: 0 	 Destino: 479 	 Distância: 0
Origem: 0 	 Destino: 480 	 Distância: 0
Origem: 0 	 Destino: 481 	 Distância: 0
Origem: 0 	 Destino: 482 	 Distância: 0
Origem: 0 	 Destino: 483 	 Distância: 0
Origem: 0 	 Destino: 484 	 Distância: 0
Origem: 0 	 Destino: 485 	 Distância: 0
Origem: 0 	 Destino: 486 	 Distância: 0
Origem: 0 	 Destino: 487 	 Distância: 0
Origem: 0 	 Destino: 488 	 Distância: 0
Origem: 0 	 Destino: 489 	 Distância: 0
Origem: 0 	 Destino: 490 	 Distância: 0
Origem: 0 	 Destino: 491 	 Distância: 0
Origem: 0 	 Destino: 492 	 Distância: 0
Origem: 0 	 Destino: 493 	 Distância: 0
Origem: 0 	 Destino: 494 	 Distância: 0
Origem: 0 	 Destino: 495 	 Distância: 0
Origem: 0 	 Destino: 496 	 Distância: 0
Origem: 0 	 Destino: 497 	 Distância: 0
Origem: 0 	 Destino: 498 	 Distância: 0
Origem: 0 	 Destino: 499 	 Distância: 0
Origem: 0 	 Destino: 500 	 Distância: 0
Origem: 0 	 Destino: 501 	 Distância: 0
Origem: 0 	 Destino: 502 	 Distância: 0
Origem: 0 	 Destino: 503 	 Distância: 0
Origem: 0 	 Destino: 504 	 Distância: 0
Origem: 0 	 Destino: 505 	 Distância: 0
Origem: 0 	 Destino: 506 	 Distância: 0
Origem: 0 	 Destino: 507 	 Distância: 0
Origem: 0 	 Destino: 508 	 Distância: 0
Origem: 0 	 Destino: 509 	 Distância: 0
Origem: 0 	 Destino: 510 	 Distância: 0
Origem: 0 	 Destino: 511 	 Distância: 0
Origem: 0 	 Destino: 512 	 Distância: 0
Origem: 0 	 Destino: 513 	 Distância: 0
Origem: 0 	 Destino: 514 	 Distância: 0
Origem: 0 	 Destino: 515 	 Distância: 0
Origem: 0 	 Destino: 516 	 Distância: 0
Origem: 0 	 Destino: 517 	 Distância: 0
Origem: 0 	 Destino: 518 	 Distância: 0
Origem: 0 	 Destino: 519 	 Distância: 0
Origem: 0 	 Destino: 520 	 Distância: 0
Origem: 0 	 Destino: 521 	 Distância: 0
Origem: 0 	 Destino: 522 	 Distância: 0
Origem: 0 	 Destino: 523 	 Distância: 0
Origem: 0 	 Destino: 524 	 Distância: 0
Origem: 0 	 Destino: 525 	 Distância: 0
Origem: 0 	 Destino: 526 	 Distância: 0
Origem: 0 	 Destino: 527 	 Distância: 0
Origem: 0 	 Destino: 528 	 Distância: 0
Origem: 0 	 Destino: 529 	 Distância: 0
Origem: 0 	 Destino: 530 	 Distância: 0
Origem: 0 	 Destino: 531 	 Distância: 0
Origem: 0 	 Destino: 532 	 Distância: 0
Origem: 0 	 Destino: 533 	 Distância: 0
Origem: 0 	 Destino: 534 	 Distância: 0
Origem: 0 	 Destino: 535 	 Distância: 0
